Song,Artist,Billboard100,URI
Missing You Now,Michael Bolton,1,7ho5FKdNqmmbCpXYcyDH8c
Back to the Hotel,N2Deep,1,47ukoPgAExwBp64F2gQlv2
Everything Changes,Kathy Troccoli,1,7rJXvz9zXQr9YYdYzeXe7U
Have You Ever Needed Someone So Bad,Def Leppard,1,0nf9RjoFTcOzTIXtmzhRuH
Take This Heart,Richard Marx,1,1aHCn2d62m0Gghu0nLeaw3
When I Look Into Your Eyes,FireHouse,1,1yJWqYYDQge60nZKdLyiZU
I Wanna Love You,Jade,1,2BDRHFw5170t2kRHD3uEMU
Uhh Ahh,Boyz II Men,1,0MrD47wtvAu6igsy8vqUzN
Real Love,Mary J. Blige,1,3XG801WWhqC753dekEBkMt
Justified and Ancient,The KLF,1,2T5iu3Qx1hVQiBUz79IwOG
Slow Motion,Color Me Badd,1,03GzYByXsXHcoEAxjsWv9G
What About Your Friends,TLC,1,63PIgPkDf3rswlU4ZWCYAM
Thinkin' Back,Color Me Badd,1,5OI4XbIHmAGDNnmP01sD82
Would I Lie to You?,Charles & Eddie,1,21MLFi0ISlqDBp7DQHPi7p
That's What Love Is For,Amy Grant,1,367dmPOxuMP8FsrZHenNnq
Keep Coming Back,Richard Marx,1,0GMFC1osUTm2qKycgHdwWD
Free Your Mind,En Vogue,1,2vG1yrWSMiL6egg6w4e9ma
Keep It Comin',Keith Sweat,1,5DcIkTnThkzh1fTnF6juFx
Just Take My Heart,Mr. Big,1,3oNACbAyQV0M1omkIK6Dyq
I Will Remember You,Amy Grant,1,76crWZqaiFzlTPGzNtT4w1
We Got a Love Thang,CeCe Peniston,1,1Z1BvDuDYOaQaQtoeCDSuA
Let's Get Rocked,Def Leppard,1,0LoH6lFQLNscy3RyljAewK
They Want EFX,Das EFX,1,3HCzj965m8Fz2E8wZkir6q
I Can't Make You Love Me,Bonnie Raitt,1,69uJi5QsBtqlYkGURTBli8
I Will Always Love You,Whitney Houston,1,4eHbdreAnSOrDDsFfc4Fpm
Whoomp! (There It Is),Tag Team,1,4EEGHbMUyS07PNVXSGB7Qg
Can't Help Falling in Love,UB40,1,7ojJ4XvqBhBcteM0zjMebT
That's the Way Love Goes,Janet Jackson,1,29rQJydAlO0uMyWvRIZxQg
Freak Me,Silk,1,5CdJveJgiGXoGwDFqF6afp
Weak,SWV,1,71EHOyEOhNx1SzTebRRyng
If I Ever Fall in Love,Shai,1,1jCsCYgzQQHk3bDJDuFbNi
Dreamlover,Mariah Carey,1,6HcQZfMrw3KwGyzrKw1Pjy
Rump Shaker,Wreckx-n-Effect,1,4dY4JVC0Q9CwpeZ6JAclIc
Informer,Snow,1,2LjiPAQOVazT8sRyXL3XRs
Nuthin' but a 'G' Thang,Dr. Dre,1,0K7LJtK98O3QZxy4gwk7tE
In the Still of the Nite,Boyz II Men,1,2tbSiDmrerPi24rEIBwtkh
Don't Walk Away,Jade,1,7tsRp7QKUBp6hc9bth0h7x
Knockin' da Boots,H-Town,1,6x53SJOV1PAZ8ZUwH4NFXQ
Lately,Jodeci,1,5hIljtQ1fRvDRc1aHdhwWK
Dazzey Duks,Duice,1,2b8gYIp9I80IHdMvSwTDwN
Show Me Love,Robin S.,1,4t0UsYzmmmZRMTWn77jiGF
A Whole New World,Peabo Bryson and Regina Belle,1,4tS8xQfyPGc7f4lJ1JP6BX
If,Janet Jackson,1,0t414ewhjcIiuPVF3QECz2
I'm So Into You,SWV,1,5A0aUvnfAEcmUx3hoXjI8R
Love Is,Vanessa Williams and Brian McKnight,1,7z8NZEvwZU6PzYAzkw3DWE
Runaway Train,Soul Asylum,1,3TW48DvQ7ChwY1Yy1tkMaP
I'll Never Get Over You (Getting Over Me),Exposé,1,5jPgOjFotU05FAgA8Y9IFL
Ditty,Paperboy,1,2JaHnS7CcIPoc7Il4BkqdR
Rhythm Is a Dancer,Snap!,1,1IWzfq3sLedGQ3fb2hAMBA
The River of Dreams,Billy Joel,1,30qVCFYKBtAENjTIBA8FPZ
I'm Gonna Be (500 Miles),The Proclaimers,1,66S14BkJDxgkYxLl5DCqOz
Two Princes,Spin Doctors,1,4ePP9So5xRzspjLFVVbj90
Right Here,SWV,1,7tUEDtHchueeUJTfEFEhii
I Have Nothing,Whitney Houston,1,31er9IGsfFbwqy1pH4aiTP
Mr. Wendal,Arrested Development,1,5DOYik1z3Of1wAFfY3dYbC
Have I Told You Lately,Rod Stewart,1,6mIY6O7uNGgVqOoX70UAYh
Saving Forever for You,Shanice,1,6pVU9bk1Tvbqlq719vJooz
Ordinary World,Duran Duran,1,0wokCRaKD0zPNhMRXAgVsr
If I Had No Loot,Tony! Toni! Toné!,1,5oPRLER8bCQN3RFFVvLbTC
I'd Do Anything for Love (But I Won't Do That),Meat Loaf,1,391CwgcBxvUHmEKda2b5In
Slam,Onyx,1,0W2mz7mvaBaEsC4rmoRNPn
