,Song,Artist,Billboard100,URI
304,Freak Me,Silk,1,5CdJveJgiGXoGwDFqF6afp
305,Weak,SWV,1,71EHOyEOhNx1SzTebRRyng
306,If I Ever Fall in Love,Shai,1,1jCsCYgzQQHk3bDJDuFbNi
307,Dreamlover,Mariah Carey,1,6HcQZfMrw3KwGyzrKw1Pjy
308,Rump Shaker,Wreckx-n-Effect,1,4dY4JVC0Q9CwpeZ6JAclIc
309,Informer,Snow,1,2LjiPAQOVazT8sRyXL3XRs
310,Nuthin' but a 'G' Thang,Dr. Dre,1,0K7LJtK98O3QZxy4gwk7tE
311,In the Still of the Nite,Boyz II Men,1,2tbSiDmrerPi24rEIBwtkh
312,Don't Walk Away,Jade,1,7tsRp7QKUBp6hc9bth0h7x
313,Knockin' da Boots,H-Town,1,6x53SJOV1PAZ8ZUwH4NFXQ
314,Lately,Jodeci,1,5hIljtQ1fRvDRc1aHdhwWK
315,Dazzey Duks,Duice,1,2b8gYIp9I80IHdMvSwTDwN
316,Show Me Love,Robin S.,1,4t0UsYzmmmZRMTWn77jiGF
317,A Whole New World,Peabo Bryson and Regina Belle,1,4tS8xQfyPGc7f4lJ1JP6BX
318,If,Janet Jackson,1,0t414ewhjcIiuPVF3QECz2
319,I'm So Into You,SWV,1,5A0aUvnfAEcmUx3hoXjI8R
320,Love Is,Vanessa Williams and Brian McKnight,1,7z8NZEvwZU6PzYAzkw3DWE
321,Runaway Train,Soul Asylum,1,3TW48DvQ7ChwY1Yy1tkMaP
322,I'll Never Get Over You (Getting Over Me),Exposé,1,5jPgOjFotU05FAgA8Y9IFL
323,Ditty,Paperboy,1,2JaHnS7CcIPoc7Il4BkqdR
325,The River of Dreams,Billy Joel,1,30qVCFYKBtAENjTIBA8FPZ
326,I'm Gonna Be (500 Miles),The Proclaimers,1,66S14BkJDxgkYxLl5DCqOz
327,Two Princes,Spin Doctors,1,4ePP9So5xRzspjLFVVbj90
328,Right Here,SWV,1,7tUEDtHchueeUJTfEFEhii
329,I Have Nothing,Whitney Houston,1,31er9IGsfFbwqy1pH4aiTP
330,Mr. Wendal,Arrested Development,1,5DOYik1z3Of1wAFfY3dYbC
331,Have I Told You Lately,Rod Stewart,1,6mIY6O7uNGgVqOoX70UAYh
332,Saving Forever for You,Shanice,1,6pVU9bk1Tvbqlq719vJooz
333,Ordinary World,Duran Duran,1,0wokCRaKD0zPNhMRXAgVsr
334,If I Had No Loot,Tony! Toni! Toné!,1,5oPRLER8bCQN3RFFVvLbTC
335,I'd Do Anything for Love (But I Won't Do That),Meat Loaf,1,391CwgcBxvUHmEKda2b5In
336,Slam,Onyx,1,0W2mz7mvaBaEsC4rmoRNPn
337,Looking Through Patient Eyes,P.M. Dawn,1,2cRlkoXssyeXXHjjaF06Za
