,ID,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,lyrics,explicit,Genre,Year
322,1030,out of our heads,take that,0,2AOYaWtrJDZyTIDaDBM2im,0.674,0.894,10.0,-7.062,1.0,0.098,0.0209,1.02e-06,0.0553,0.68,117.019,172440.0,4.0,"Eye popping, gate crashing
Light flashing, fence hopping love
Mind-spinning, back breaking
Soul taking, heart stopping love

So take a minute
Take your heart to the limit
Baby own it and make it your fight

We're gonna be out of our heads, tonight
We're gonna be out of our heads
We're gonna be out of our heads, tonight
We're gonna be out of our heads
The past, the present and the future is gonna be fine
We're gonna be out of our heads, tonight
We're gonna be out of our heads

Oh all the law breakers, all the naughty love makers
This is your time
This is your time
...

",0.0,pop,2018
323,1032,shotgun,george ezra,0,4ofwffwvvnbSkrMSCKQDaC,0.672,0.735,5.0,-4.733,1.0,0.0457,0.286,0.0,0.242,0.754,115.741,201287.0,4.0,"Homegrown alligator
See you later
Gotta hit the road
Gotta hit the road
Something changed in the atmosphere
Architecture unfamiliar
I can get used to this

Time flies by in the yellow and green
Stick around and you'll see what I mean
There's a mountaintop that I'm dreaming of
If you need me, you know where I'll be

I'll be riding shotgun
Underneath the hot sun
Feeling like a someone
I'll be riding shotgun
Underneath the hot sun
Feeling like a someone

The South of the Equator, navigator
...

",0.0,pop,2018
324,1034,how can i forget,mkto,0,0ibG3XCJ32Qq9maUY4AViR,0.796,0.53,8.0,-5.967,1.0,0.0558,0.69,0.0,0.0646,0.754,105.031,177141.0,4.0,"You wore that white sundress
Smoked a clove cigarette
Danced barefoot and your hair was a mess
You drove a Jeep Cherokee, but no money for gas
Coulda looked at you all day long, all day long

You tried to downplay your beauty but you couldn't fool me
You tried to play like you're tough but you grew up by the beach
Said you hated the world, but somehow you like me
Coulda looked at you all night long, all night long
Coulda looked at you all night long, all night long

How can I forget you in the morning?
How can I forget you?
I was dreamin' you were standin' there wearin' my t-shirt
Wishin' that you could still be here
How can I forget?

I can't
I can't (I can't)
How can I forget?
I can't
I can't

...

",0.0,pop,2018
325,1035,love you anymore,michael bublé,0,7JEUg9KqmpdIE5Nbb9ss66,0.693,0.257,6.0,-7.785,1.0,0.0356,0.869,0.0,0.11,0.603,90.012,182667.0,4.0,"Just because I wander 'round the places we would go
Hoping that I'd run into you one last time
Just because I never took your picture off my phone
Doesn't mean that you're still on my mind

Just because I accidentally slipped and said your name
Well I heard your song, it makes me insecure
Just because I know I'll never ever feel the same
Doesn't mean I love you anymore

...

",0.0,pop,2018
326,1036,keeping your head up,birdy,0,6lyjWvSUgYtX26zfrQ6gn8,0.599,0.78,11.0,-5.033,1.0,0.0527,0.156,0.0,0.189,0.529,122.077,208395.0,4.0,"Times that I've seen you lose your way
You're not in control and you won't be told
All I can do to keep you safe is hold you close, hold you close
Till you can breathe on your own
Till you can breathe on your own

Hold tight, you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up, darling

Hold tight, you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up
And I won't let you down

...

",0.0,pop,2016
328,1039,back again,you me at six,0,0DcZkCO6y7I6fUMlz1qAhR,0.634,0.865,9.0,-4.363,0.0,0.0367,0.00205,1.25e-06,0.307,0.879,112.021,176960.0,4.0,"And I was sinking under water
Drowning in the memory of you
And now it's time for me to recover
Coming to the surface for a better view, uh yeah

In the good times and the bad times
You need the high to feel alive
And the headlines, they criticizing (criticizing)
No love for the cynics, see your 15 minutes
I, got no time for it

I'm back again
I'm back again
I'm back again
...",0.0,pop,2018
329,1040,all this love,jp cooper,0,10unIjOu5Jurco3SDbV4HZ,0.621,0.524,5.0,-7.056,1.0,0.0248,0.168,0.0,0.0925,0.434,97.456,193598.0,3.0,"Every time I'm awake I can see your dress hanging on the back of the door
I feel like it's staring me down, so I look to the floor
Every time I move, tripping on your shoes, every time I open a drawer
I let the skeletons out and we dance with the hore

I got all this love, nothing to do with it now
When you gonna come and get it?
I can't throw it out
I got all this love gathering dust in my house
I got all this love, all this love

Water's getting rough, swimming in your stuff, I just wanna get to the shore
I'm drowning in memories of you that I try to ignore
...

",0.0,pop,2017
330,1041,l.i.f.e.g.o.e.s.o.n.,noah and the whale,0,6y468DyY1V67RBNCwzrMrC,0.599,0.757,4.0,-5.817,1.0,0.0362,0.204,0.0,0.35,0.574,81.998,228000.0,4.0,"Lisa likes brandy and the way it hits her lips
She's a rock 'n' roll survivor with pendulum hips
She's got deep brown eyes
That've seen it all

Working at a nightclub that was called The Avenue
The bar men used to call her ""Little Lisa, Looney Tunes""
She went down on almost anyone

From the hard time living 'til the Chelsea days
From when her hair was sweet blonde 'til the day it turned gray
She said:

L.I.F.E.G.O.E.S.O.N.
You've got more than money and cents, my friend
You've got heart, and you're going your own way
L.I.F.E.G.O.E.S.O.N.
What you don't have now will come back again
You've got heart, and you're going your own way
...

",0.0,pop,2011
331,1042,thursday,jess glynne,0,57zF9nlPH4rud6f6zuKSQi,0.603,0.554,2.0,-4.381,1.0,0.0646,0.452,0.0,0.0545,0.354,111.989,216239.0,4.0,"I won't wear makeup on Thursday
I'm sick of covering up
I'm tired of feeling so broken
I'm tired of falling in love
Sometimes I'm shy and I'm anxious
Sometimes I'm down on my knees
Sometimes I try to embrace all my insecurities
So I won't wear makeup on Thursday
'Cause who I am is enough

And there are many things that I could change so slightly
But why would I succumb to something so unlike me?
I was always taught to just be myself
Don't change for anyone

I wanna laugh, I don't wanna cry
Don't want these tears inside my eyes, yeah
Don't wanna wake up and feel insecure
I wanna sing, I wanna dance
I wanna feel love inside my hands again
I just wanna feel beautiful

Oh-oh-oh, oh I
Oh-oh-oh, oh I
...

",0.0,pop,2018
332,1047,glow,gavin james,0,6QoeYWHziiIaEYQm7yp9Fm,0.576,0.791,0.0,-4.862,1.0,0.0346,0.0651,0.0,0.14,0.413,123.083,230694.0,4.0,"I'm trying to keep my feelings close
But I miss you I suppose
'cause from our fingers to our toes
There are secrets no one knows
It's just a disguise
A little white lie
Digging a hole to find out
Am I behind your eyes?

Love, don't let me go
If you feel the glow
I'll find the code
If you love me tell me so
(oooh)
...

",0.0,pop,2018
