,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
4357,the race is on,george jones,0,2LyRC7gfWFJd6JI5i8fTJe,0.428,0.701,9.0,-7.73,1.0,0.0658,0.247,0.0,0.154,0.918,170.419,127400.0,4.0
4358,almost persuaded,david houston,0,2Krnm3qWdy4VG5vTkT0cDn,0.251,0.338,8.0,-11.897,1.0,0.0382,0.861,0.0,0.144,0.353,81.642,176360.0,3.0
4359,timber i'm falling,ferlin husky,0,0jRIzXzMRKbwXLpblAsqsa,0.757,0.701,4.0,-7.345,1.0,0.0347,0.526,4.84e-05,0.121,0.884,112.947,152800.0,4.0
4360,wichita lineman - remastered,glen campbell,0,6V9VCm1zOY2lGR80RehJ9i,0.192,0.392,5.0,-11.667,1.0,0.0328,0.326,0.000199,0.248,0.391,172.312,186200.0,4.0
4361,i don't wanna play house,tammy wynette,0,0mSywazXcVFQZRk2Gg9ImX,0.546,0.258,7.0,-12.894,1.0,0.0317,0.806,1.06e-05,0.165,0.464,100.683,154627.0,4.0
4362,the streets of baltimore,bobby bare,0,3kDSSR6noFrYJBxijqEVm3,0.578,0.447,4.0,-14.212,1.0,0.032,0.629,0.0,0.19,0.808,116.128,157640.0,4.0
4363,branded man - remastered,merle haggard,0,2VN8jqhBgwIsU849PKxCfE,0.731,0.465,2.0,-8.133,1.0,0.03,0.386,0.0,0.0854,0.519,120.877,186800.0,4.0
4364,don't worry,marty robbins,0,0dPfKBYyPmoSfoLJqeKAs4,0.648,0.165,4.0,-16.446,1.0,0.0348,0.879,0.000216,0.13,0.435,99.585,194160.0,4.0
4365,lonesome 7-7203,hawkshaw hawkins,0,6ZW6ND4N7oKkUhKqWZhjyk,0.616,0.332,9.0,-13.455,1.0,0.0319,0.812,0.000401,0.332,0.662,115.88,166053.0,4.0
4366,yesterday when i was young,roy clark,0,34FHyAVCDFURtlrt6HfPHU,0.328,0.365,2.0,-13.772,0.0,0.0582,0.555,0.0,0.146,0.344,178.103,200240.0,4.0
4367,the carroll county accident,porter wagoner,0,5b3Bvd2m81gEQRWrShNkx2,0.643,0.504,7.0,-11.231,1.0,0.0395,0.346,0.0,0.247,0.705,91.688,169200.0,4.0
4368,homecoming - single version,tom t. hall,0,5Lb38fmngYVaPkLYHuAThe,0.617,0.357,11.0,-15.751,1.0,0.0429,0.935,0.00945,0.145,0.666,122.837,197293.0,4.0
4369,act naturally,buck owens,0,3JWEMzwpcWCvu4Qw1BIbYi,0.552,0.474,7.0,-6.847,1.0,0.0275,0.336,0.0,0.173,0.7,92.156,143693.0,4.0
4370,does my ring hurt your finger,charley pride,0,6VUXsWN3aNqEhaPawlFjep,0.399,0.35,11.0,-10.223,1.0,0.0286,0.777,0.0,0.115,0.667,107.61,137120.0,4.0
4371,skip a rope,henson cargill,0,2kzVFcp3kSU1Qld4dYBM7L,0.623,0.51,6.0,-13.092,0.0,0.0374,0.608,0.00267,0.0699,0.54,145.604,160785.0,4.0
4372,gentle on my mind - remastered,glen campbell,0,0mLoTgCB8oU0sJGojRtvDu,0.597,0.415,3.0,-13.799,1.0,0.0323,0.189,0.0,0.123,0.826,108.987,178627.0,4.0
4373,big bad john,jimmy dean,0,61uAY9xdzYiIbYJ07XvKso,0.516,0.457,8.0,-12.609,1.0,0.184,0.596,0.0,0.106,0.455,173.934,182560.0,4.0
4375,six days on the road,dave dudley,0,0LpmpBulMgAwtdC3YYgkql,0.703,0.549,2.0,-10.952,1.0,0.0493,0.708,5.57e-06,0.361,0.919,90.382,134707.0,4.0
4376,sea of heartbreak,don gibson,0,0xERMvJD8djz1ZBjPSRLvM,0.59,0.586,7.0,-9.158,1.0,0.0344,0.422,4.46e-05,0.337,0.729,91.17,155040.0,4.0
4377,bright lights and country music,bill anderson,0,1LWocjmlZPQjwfFV4cJ6HV,0.66,0.378,9.0,-12.857,1.0,0.0292,0.0814,4.67e-05,0.11,0.737,135.391,160440.0,4.0
4378,don't you ever get tired of hurting me,ray price,0,6QAJbtf8Qb69AKsp8soPmN,0.372,0.184,7.0,-16.772,1.0,0.031,0.661,0.361,0.207,0.541,83.535,168240.0,4.0
4379,make the world go away,eddy arnold,0,6drEsDrLJEeRJwGwgPgmJU,0.213,0.213,1.0,-11.896,1.0,0.0345,0.882,3.16e-05,0.0633,0.519,206.983,161533.0,3.0
4380,still - single version,bill anderson,0,0Q7eey8NSPQEQ3ol75UAAx,0.561,0.142,8.0,-18.972,1.0,0.0433,0.678,0.00631,0.226,0.293,94.454,166973.0,4.0
4381,ode to billie joe,bobbie gentry,0,4FdDorlbJTVHcH3djLbIfn,0.637,0.189,7.0,-10.726,1.0,0.0471,0.721,0.0,0.0939,0.695,120.142,255002.0,4.0
4382,don't let me cross over,carl butler,0,1ZNDtli4TjhuoBnWplaePI,0.59,0.188,7.0,-12.253,1.0,0.0302,0.871,0.0,0.0877,0.521,113.907,177107.0,3.0
4383,"folsom prison blues - live at folsom state prison, folsom, ca (1st show) - january 1968",johnny cash,0,3F729cYjXeMfeQ7FDvdADY,0.594,0.577,0.0,-12.772,1.0,0.0534,0.0215,0.00792,0.883,0.89,110.783,156427.0,4.0
4384,pop a top,jim ed brown,0,73AgVwYUEPn9kB0a97b4LW,0.524,0.497,9.0,-10.824,1.0,0.0372,0.687,5.66e-06,0.175,0.913,118.263,140307.0,4.0
